,year,state,total_energy,gdp,biomass_consumption,coal_consumption,electricity_consumption,fossil_fuel_consumption,natural_gas_consumption,latitude,longitude
0,2010,Alabama,1931522,176220.75,169088,718684,310023,1785688,544405,32.806671,-86.79113
1,2011,Alabama,1905207,181923.0,179611,651032,303652,1783839,609288,32.806671,-86.79113
2,2012,Alabama,1879716,187283.25,181878,547004,294055,1740315,677380,32.806671,-86.79113
3,2013,Alabama,1919365,191605.25,194432,565051,299751,1689491,625869,32.806671,-86.79113
4,2014,Alabama,1958221,197534.5,186649,575912,308765,1724891,651532,32.806671,-86.79113
5,2010,Alaska,653221,54220.0,4178,14548,21315,634777,334978,61.370716,-152.404419
6,2011,Alaska,653637,59318.25,4247,15481,21562,635981,339819,61.370716,-152.404419
7,2012,Alaska,649341,61613.5,4032,15521,21893,629768,347228,61.370716,-152.404419
8,2013,Alaska,621107,59890.75,5168,14819,21387,600660,332963,61.370716,-152.404419
9,2014,Alaska,603119,58066.75,5476,18225,21034,581369,329585,61.370716,-152.404419
10,2010,Arizona,1383531,247333.0,29289,457909,248506,1292346,336208,33.729759,-111.431221
11,2011,Arizona,1424944,255620.5,28565,459909,255708,1253992,293134,33.729759,-111.431221
12,2012,Arizona,1395839,266130.75,27267,420570,256116,1248032,339043,33.729759,-111.431221
13,2013,Arizona,1414383,271072.5,26492,454865,258159,1289119,340375,33.729759,-111.431221
14,2014,Arizona,1422590,281558.75,31481,447849,260328,1256577,315448,33.729759,-111.431221
15,2010,Arkansas,1120632,104928.75,94865,293689,164439,909827,274774,34.969704,-92.373123
16,2011,Arkansas,1122544,109378.25,97160,306119,163530,932878,288906,34.969704,-92.373123
17,2012,Arkansas,1067642,111541.0,96248,296732,159885,918078,300572,34.969704,-92.373123
18,2013,Arkansas,1096438,116651.5,95356,327099,159283,936796,286352,34.969704,-92.373123
19,2014,Arkansas,1114409,121064.75,95963,339214,160638,939788,274767,34.969704,-92.373123
20,2010,California,7760629,1960935.0,280124,54972,882107,5741492,2325411,36.116203,-119.681564
21,2011,California,7777115,2031347.75,282581,55264,893745,5550201,2196252,36.116203,-119.681564
22,2012,California,7564063,2121602.25,280963,43832,885544,5687343,2456371,36.116203,-119.681564
23,2013,California,7665241,2215231.5,294412,38151,891666,5755210,2483208,36.116203,-119.681564
24,2014,California,7620082,2324995.5,298473,39486,895939,5702418,2417476,36.116203,-119.681564
25,2010,Colorado,1513547,258148.25,28210,382623,180555,1370758,510877,39.059811,-105.311104
26,2011,Colorado,1470445,266796.25,30883,368871,182400,1304903,481614,39.059811,-105.311104
27,2012,Colorado,1440781,277646.75,30680,370085,183174,1282352,461056,39.059811,-105.311104
28,2013,Colorado,1470844,288809.0,35382,363532,182343,1303825,487445,39.059811,-105.311104
29,2014,Colorado,1477177,305366.75,36073,350526,182189,1313834,499668,39.059811,-105.311104
30,2010,Connecticut,764970,230357.25,35716,28711,103697,562060,203814,41.597782,-72.755371
31,2011,Connecticut,739130,232270.75,33958,6081,101879,557282,236016,41.597782,-72.755371
32,2012,Connecticut,725019,238322.25,32800,9290,100628,544358,236260,41.597782,-72.755371
33,2013,Connecticut,754901,242417.0,34153,7679,101761,560141,241509,41.597782,-72.755371
34,2014,Connecticut,750019,250763.75,36011,9097,100157,559695,240614,41.597782,-72.755371
35,2010,Delaware,250212,57673.75,6901,30253,39599,171414,56087,39.318523,-75.507141
36,2011,Delaware,272568,59763.25,6781,17881,39181,201518,81710,39.318523,-75.507141
37,2012,Delaware,273728,60774.25,5972,17384,39304,221203,104421,39.318523,-75.507141
38,2013,Delaware,273716,61423.75,5977,18254,38719,213411,100106,39.318523,-75.507141
39,2014,Delaware,274013,65484.75,6249,10238,38687,213655,106854,39.318523,-75.507141
40,2010,Florida,4282673,729761.5,246789,637416,788887,3491560,1180462,27.766279,-81.686783
41,2011,Florida,4141711,735244.25,245557,552730,768009,3357837,1235953,27.766279,-81.686783
42,2012,Florida,4029903,764645.5,244646,482984,752941,3327632,1348390,27.766279,-81.686783
43,2013,Florida,4076406,797343.5,253961,505155,757189,3273949,1245287,27.766279,-81.686783
44,2014,Florida,4121680,835578.5,250043,557882,771379,3350291,1246670,27.766279,-81.686783
45,2010,Georgia,3100144,407999.0,204742,767906,479971,2324200,541691,33.040619,-83.643074
46,2011,Georgia,2982837,418916.5,210583,634756,465298,2142535,532310,33.040619,-83.643074
47,2012,Georgia,2767491,434977.75,207725,435546,446900,1946907,625008,33.040619,-83.643074
48,2013,Georgia,2782782,450933.5,233509,426184,445257,1928374,635287,33.040619,-83.643074
49,2014,Georgia,2850990,471879.5,252985,482657,463315,1985059,666771,33.040619,-83.643074
50,2010,Hawaii,278046,67538.5,10448,17117,34176,259018,2732,21.094318,-157.498337
51,2011,Hawaii,287113,69689.25,10550,16080,33989,265505,2744,21.094318,-157.498337
52,2012,Hawaii,280171,72100.25,9604,16572,32889,256754,2813,21.094318,-157.498337
53,2013,Hawaii,281329,74011.75,11179,15306,32425,252836,2805,21.094318,-157.498337
54,2014,Hawaii,281206,76424.75,10950,17241,32330,250786,2805,21.094318,-157.498337
55,2010,Idaho,516120,55420.25,33561,8527,77786,250946,85075,44.240459,-114.478828
56,2011,Idaho,516978,57081.0,31192,7846,79403,247718,83947,44.240459,-114.478828
57,2012,Idaho,510869,58544.75,31038,5186,80905,248082,90339,44.240459,-114.478828
58,2013,Idaho,526613,61110.75,33286,7965,82598,270907,106356,44.240459,-114.478828
59,2014,Idaho,519935,63364.0,40040,7472,79272,260704,94319,44.240459,-114.478828
60,2010,Illinois,3955091,653164.0,147792,1069037,493923,3225698,974412,40.349457,-88.986137
61,2011,Illinois,3937616,679269.0,133873,1052224,487526,3212010,997722,40.349457,-88.986137
62,2012,Illinois,3820547,712604.25,132247,969294,489758,3044403,950711,40.349457,-88.986137
63,2013,Illinois,3991089,720494.5,135697,1026925,483838,3266060,1073734,40.349457,-88.986137
64,2014,Illinois,4042313,742027.75,138402,1017855,482935,3304158,1116417,40.349457,-88.986137
65,2010,Indiana,2863396,283111.5,98571,1449371,361653,2770123,580752,39.849426,-86.258278
66,2011,Indiana,2847188,291889.75,105527,1333442,361051,2712351,638237,39.849426,-86.258278
67,2012,Indiana,2770158,299906.0,103946,1193465,358852,2562415,657719,39.849426,-86.258278
68,2013,Indiana,2894764,310669.25,108119,1198611,359923,2632450,682842,39.849426,-86.258278
69,2014,Indiana,2931630,324289.0,112781,1221492,364888,2709827,727758,39.849426,-86.258278
70,2010,Iowa,1499729,141382.5,239261,493794,155059,1187456,312941,42.011539,-93.210526
71,2011,Iowa,1498973,149402.0,231401,463138,155774,1155743,309672,42.011539,-93.210526
72,2012,Iowa,1440053,159095.75,216577,422595,155959,1092732,299315,42.011539,-93.210526
73,2013,Iowa,1518870,163495.25,227495,402402,159358,1125533,331358,42.011539,-93.210526
74,2014,Iowa,1541900,170715.0,241138,401151,161053,1137920,342431,42.011539,-93.210526
75,2010,Kansas,1117631,128589.0,39348,359908,137915,997849,280413,38.5266,-96.726486
76,2011,Kansas,1104843,137654.25,41131,346521,139074,970721,285318,38.5266,-96.726486
77,2012,Kansas,1075435,141600.25,38492,307585,137481,913457,268086,38.5266,-96.726486
78,2013,Kansas,1105160,142773.5,40855,326817,135959,963626,288840,38.5266,-96.726486
79,2014,Kansas,1132354,146562.0,45862,316572,138396,965093,289697,38.5266,-96.726486
80,2010,Kentucky,1978527,165787.0,51017,1009823,319259,1874296,239062,37.66814,-84.670067
81,2011,Kentucky,1903208,172255.25,51474,1010623,305505,1846216,229056,37.66814,-84.670067
82,2012,Kentucky,1868483,178209.75,49735,909705,303833,1735259,232702,37.66814,-84.670067
83,2013,Kentucky,1838898,182696.25,55168,914774,289214,1737960,236423,37.66814,-84.670067
84,2014,Kentucky,1770741,188518.0,57195,913452,268998,1754132,261233,37.66814,-84.670067
85,2010,Louisiana,4385758,231371.5,112227,259750,290292,3974821,1483201,31.169546,-91.867805
86,2011,Louisiana,4388867,236958.25,113514,269993,294691,4015581,1536147,31.169546,-91.867805
87,2012,Louisiana,4255161,243308.75,113460,238811,289101,3886754,1586439,31.169546,-91.867805
88,2013,Louisiana,4196622,238308.25,125789,228055,292777,3785289,1499625,31.169546,-91.867805
89,2014,Louisiana,4279443,245790.75,144404,209973,309224,3810396,1563857,31.169546,-91.867805
90,2010,Maine,415065,51304.25,114477,2279,39346,277354,80988,44.693947,-69.381927
91,2011,Maine,413893,51480.75,113899,1542,38949,268118,75061,44.693947,-69.381927
92,2012,Maine,399670,52606.0,113103,1299,39446,244896,70451,44.693947,-69.381927
93,2013,Maine,409785,53299.75,116850,1657,40449,253371,66014,44.693947,-69.381927
94,2014,Maine,410530,55029.0,111979,2142,40953,252829,62355,44.693947,-69.381927
95,2010,Maryland,1464503,314470.5,51683,266067,222925,963419,217744,39.063946,-76.802101
96,2011,Maryland,1410012,323942.5,49917,241190,217002,900614,199223,39.063946,-76.802101
97,2012,Maryland,1368600,331423.75,49822,192334,210908,857053,216678,39.063946,-76.802101
98,2013,Maryland,1395961,337422.0,54874,183191,211201,847590,207422,39.063946,-76.802101
99,2014,Maryland,1400614,350262.5,53814,201220,210465,878993,217440,39.063946,-76.802101
100,2010,Massachusetts,1416119,399270.25,59866,83850,194905,1107941,447429,42.230171,-71.530106
101,2011,Massachusetts,1397164,413672.75,59074,42963,189605,1073354,464018,42.230171,-71.530106
102,2012,Massachusetts,1363282,432256.25,57348,24036,188729,982397,430921,42.230171,-71.530106
103,2013,Massachusetts,1428433,438640.75,60267,42208,188564,1030817,434893,42.230171,-71.530106
104,2014,Massachusetts,1437640,456273.0,61735,29871,185849,1011008,433246,42.230171,-71.530106
105,2010,Michigan,2753536,387167.0,129422,749285,353651,2305457,758696,43.326618,-84.536095
106,2011,Michigan,2785212,401359.75,140472,691150,358443,2253650,787337,43.326618,-84.536095
107,2012,Michigan,2687926,417328.25,140729,621633,357640,2186354,804084,43.326618,-84.536095
108,2013,Michigan,2832425,431111.5,148084,658172,351567,2304114,828483,43.326618,-84.536095
109,2014,Michigan,2881550,447221.25,150125,618479,352508,2329372,878699,43.326618,-84.536095
110,2010,Minnesota,1857095,271481.0,163181,315438,231333,1337325,427198,45.694454,-93.900192
111,2011,Minnesota,1850749,284490.75,155130,315604,233834,1329595,424978,45.694454,-93.900192
112,2012,Minnesota,1816866,294728.75,150916,257875,231977,1281593,430286,45.694454,-93.900192
113,2013,Minnesota,1858816,307215.75,148505,267695,234214,1328816,474891,45.694454,-93.900192
114,2014,Minnesota,1912065,320381.25,162992,313073,234470,1385193,489901,45.694454,-93.900192
115,2010,Mississippi,1177620,94953.5,71310,148463,169533,999309,444875,32.741646,-89.678696
116,2011,Mississippi,1155456,96840.25,71184,107546,168340,944952,437873,32.741646,-89.678696
117,2012,Mississippi,1143099,102082.75,84165,82456,165099,989634,499946,32.741646,-89.678696
118,2013,Mississippi,1138181,103269.75,70216,97767,166444,942046,427323,32.741646,-89.678696
119,2014,Mississippi,1155549,104937.5,71994,116537,168582,982217,440003,32.741646,-89.678696
120,2010,Missouri,1910500,255631.25,69261,801625,293722,1721620,282141,38.456085,-92.288368
121,2011,Missouri,1856590,256996.0,66131,825650,287478,1719891,275308,38.456085,-92.288368
122,2012,Missouri,1781978,265178.25,62496,768297,281269,1623633,258945,38.456085,-92.288368
123,2013,Missouri,1847506,274540.5,71490,806549,284585,1689057,280845,38.456085,-92.288368
124,2014,Missouri,1903839,283280.25,74839,780707,286193,1694147,301360,38.456085,-92.288368
125,2010,Montana,400855,37801.0,14644,203339,46988,447231,72888,46.921925,-110.454353
126,2011,Montana,402355,40841.25,7601,165687,47045,422616,79470,46.921925,-110.454353
127,2012,Montana,395724,42137.75,7601,157308,47302,405716,75234,46.921925,-110.454353
128,2013,Montana,405934,43223.25,8632,166104,47922,422138,81900,46.921925,-110.454353
129,2014,Montana,403446,44672.25,8888,175357,48117,423897,79260,46.921925,-110.454353
130,2010,Nebraska,860741,91498.25,109887,254552,101846,666348,169620,41.12537,-98.268082
131,2011,Nebraska,862675,99050.25,116589,285384,101255,690557,173666,41.12537,-98.268082
132,2012,Nebraska,852984,102163.0,107042,272587,105185,668116,161774,41.12537,-98.268082
133,2013,Nebraska,871815,107187.5,107097,292956,104750,705960,178752,41.12537,-98.268082
134,2014,Nebraska,864347,110663.25,102397,276544,103118,691958,179544,41.12537,-98.268082
135,2010,Nevada,645604,119771.0,9739,80228,115232,577325,267808,38.313515,-117.055374
136,2011,Nevada,632655,122744.25,9375,62701,115723,529486,255970,38.313515,-117.055374
137,2012,Nevada,639190,125204.5,9154,52850,120034,548427,281432,38.313515,-117.055374
138,2013,Nevada,659568,126935.5,10021,64838,120141,569355,281972,38.313515,-117.055374
139,2014,Nevada,660256,134052.25,10681,79230,119678,568174,259438,38.313515,-117.055374
140,2010,New Hampshire,294473,62678.75,33502,33827,37157,242475,62612,43.452492,-71.563896
141,2011,New Hampshire,292979,64097.5,33745,24489,37084,242846,72778,43.452492,-71.563896
142,2012,New Hampshire,284490,66012.75,35301,14191,37089,224415,74336,43.452492,-71.563896
143,2013,New Hampshire,304538,67306.5,40393,16778,37680,214922,55649,43.452492,-71.563896
144,2014,New Hampshire,310142,70345.25,43200,14867,37341,225508,58841,43.452492,-71.563896
145,2010,New Jersey,2395713,492990.0,64370,71961,270160,1772767,671474,40.298904,-74.521011
146,2011,New Jersey,2411816,497571.0,62752,49592,262246,1794240,677923,40.298904,-74.521011
147,2012,New Jersey,2241207,518422.5,61003,25589,256081,1647100,670970,40.298904,-74.521011
148,2013,New Jersey,2311685,530091.25,65208,25910,254680,1704155,712948,40.298904,-74.521011
149,2014,New Jersey,2340188,545374.25,67456,30731,252031,1799165,798602,40.298904,-74.521011
150,2010,New Mexico,649962,86194.75,17663,267474,76526,737539,246201,34.840515,-106.248482
151,2011,New Mexico,668675,89543.25,17054,284737,78618,768020,251838,34.840515,-106.248482
152,2012,New Mexico,666540,90535.25,16179,263439,79085,745336,249815,34.840515,-106.248482
153,2013,New Mexico,670257,91344.5,17990,256377,78698,741402,252867,34.840515,-106.248482
154,2014,New Mexico,679136,94791.5,17189,215348,78869,711338,256085,34.840515,-106.248482
155,2010,New York,3723729,1208079.25,120168,167094,493456,2733286,1224485,42.165726,-74.948051
156,2011,New York,3611091,1231935.75,124402,125181,491487,2620842,1247757,42.165726,-74.948051
157,2012,New York,3503309,1299813.5,122513,72914,488471,2593481,1260950,42.165726,-74.948051
158,2013,New York,3626150,1335063.5,129687,68707,504618,2629451,1315282,42.165726,-74.948051
159,2014,New York,3742892,1385776.25,134792,64655,502833,2747588,1386580,42.165726,-74.948051
160,2010,North Carolina,2685333,417375.5,134325,749091,465448,1869784,308710,35.630066,-79.806419
161,2011,North Carolina,2558792,428730.75,141002,624783,447262,1704725,311189,35.630066,-79.806419
162,2012,North Carolina,2481060,439332.5,142163,534713,437026,1654828,367948,35.630066,-79.806419
163,2013,North Carolina,2530649,454450.0,148324,493771,442809,1734549,445898,35.630066,-79.806419
164,2014,North Carolina,2554776,474355.25,145560,501592,454249,1761282,460876,35.630066,-79.806419
165,2010,North Dakota,476072,36033.0,25305,409684,44207,622237,70046,47.528912,-99.784012
166,2011,North Dakota,528508,42122.75,27145,394771,46871,652742,77752,47.528912,-99.784012
167,2012,North Dakota,552326,52197.25,25455,406344,50214,678850,77469,47.528912,-99.784012
168,2013,North Dakota,594439,54441.25,26067,393193,54704,701050,88285,47.528912,-99.784012
169,2014,North Dakota,640095,58230.0,26745,399195,62234,723128,90629,47.528912,-99.784012
170,2010,Ohio,3824933,494736.25,110645,1355137,525944,3304252,810958,40.388783,-82.764915
171,2011,Ohio,3792585,521870.0,115650,1222606,527994,3188336,849076,40.388783,-82.764915
172,2012,Ohio,3655849,544551.75,115615,1019140,520183,2984206,869934,40.388783,-82.764915
173,2013,Ohio,3739974,558969.0,126808,1104486,512848,3170468,954374,40.388783,-82.764915
174,2014,Ohio,3809648,588827.75,129920,1057377,514119,3208044,1044986,40.388783,-82.764915
175,2010,Oklahoma,1579910,151317.5,39320,346047,197370,1571983,697351,35.565342,-96.928917
176,2011,Oklahoma,1585212,165277.5,39133,378320,204197,1576848,676910,35.565342,-96.928917
177,2012,Oklahoma,1561913,173911.5,41310,327089,202470,1567142,712411,35.565342,-96.928917
178,2013,Oklahoma,1620837,182447.25,42616,335925,204478,1537652,682277,35.565342,-96.928917
179,2014,Oklahoma,1679856,190170.5,42870,336080,210088,1543910,665799,35.565342,-96.928917
180,2010,Oregon,975067,191393.0,59498,42556,157041,628380,242914,44.572021,-122.070938
181,2011,Oregon,1002476,200267.5,57460,35135,160949,572458,203607,44.572021,-122.070938
182,2012,Oregon,975044,196982.25,61814,28259,159302,575060,220578,44.572021,-122.070938
183,2013,Oregon,991867,197732.75,71299,38900,162551,608017,244025,44.572021,-122.070938
184,2014,Oregon,987145,203328.0,72449,34238,161507,588438,225576,44.572021,-122.070938
185,2010,Pennsylvania,3752280,588275.75,132240,1310670,508265,3469617,909263,40.590752,-77.209755
186,2011,Pennsylvania,3725014,607403.25,143718,1212984,507560,3412240,1000509,40.590752,-77.209755
187,2012,Pennsylvania,3623997,626315.5,141507,1093178,493750,3324396,1079497,40.590752,-77.209755
188,2013,Pennsylvania,3826959,645382.5,154219,1126118,499018,3472175,1176660,40.590752,-77.209755
189,2014,Pennsylvania,3902434,672413.25,148961,1039161,500498,3486721,1257090,40.590752,-77.209755
190,2010,Rhode Island,195314,49328.75,6691,0,26611,184732,95710,41.680893,-71.51178
191,2011,Rhode Island,185731,49931.25,6265,0,26383,185371,102465,41.680893,-71.51178
192,2012,Rhode Island,183879,51491.75,5609,0,26301,178036,98435,41.680893,-71.51178
193,2013,Rhode Island,199165,52808.5,5458,0,26549,171472,88274,41.680893,-71.51178
194,2014,Rhode Island,204459,55098.25,7068,0,26078,178774,91259,41.680893,-71.51178
195,2010,South Carolina,1643912,165237.0,101716,404966,281419,1124533,225961,33.856892,-80.945007
196,2011,South Carolina,1601881,171152.75,111632,366160,274627,1077992,235465,33.856892,-80.945007
197,2012,South Carolina,1558766,175434.0,117091,298572,265389,1012652,250482,33.856892,-80.945007
198,2013,South Carolina,1590456,180855.75,113934,257319,268190,975757,236710,33.856892,-80.945007
199,2014,South Carolina,1632085,189655.5,122321,305656,278487,1021676,235860,33.856892,-80.945007
200,2010,South Dakota,378514,38043.75,63943,39061,38747,226232,72926,44.299782,-99.438828
201,2011,South Dakota,378470,42453.25,62472,32112,39851,218924,73973,44.299782,-99.438828
202,2012,South Dakota,375950,43258.5,58812,35574,40037,225164,71501,44.299782,-99.438828
203,2013,South Dakota,389619,44909.5,61515,34246,41660,231578,83871,44.299782,-99.438828
204,2014,South Dakota,391857,45600.0,62730,33062,42154,230463,83464,44.299782,-99.438828
205,2010,Tennessee,2247273,254343.0,91516,515464,353215,1461432,263365,35.747845,-86.692345
206,2011,Tennessee,2195401,264957.5,91048,481127,343702,1427048,267929,35.747845,-86.692345
207,2012,Tennessee,2080953,280843.0,96477,423086,328854,1355061,281007,35.747845,-86.692345
208,2013,Tennessee,2132508,289266.25,98518,399768,330773,1344036,285308,35.747845,-86.692345
209,2014,Tennessee,2194512,300015.25,101449,427509,341948,1411675,311966,35.747845,-86.692345
210,2010,Texas,11687521,1251494.0,179840,1568060,1223057,10741110,3689583,31.054487,-97.563461
211,2011,Texas,11906249,1351048.25,205461,1695239,1283134,10979933,3800578,31.054487,-97.563461
212,2012,Texas,11931169,1440819.0,200181,1498818,1245735,11054960,3964121,31.054487,-97.563461
213,2013,Texas,12660976,1527158.5,197910,1597357,1292524,11616497,4143328,31.054487,-97.563461
214,2014,Texas,12899498,1601976.75,214603,1585961,1329553,11752655,4219128,31.054487,-97.563461
215,2010,Utah,756012,119037.0,7712,356148,95686,847682,229078,40.150032,-111.862434
216,2011,Utah,794058,125496.5,9209,346181,98467,858627,230672,40.150032,-111.862434
217,2012,Utah,790154,129012.25,9560,322055,101416,829676,232630,40.150032,-111.862434
218,2013,Utah,831668,134922.25,10581,355230,103977,897843,258909,40.150032,-111.862434
219,2014,Utah,797995,140565.0,10562,344054,102507,875384,252691,40.150032,-111.862434
220,2010,Vermont,153697,26406.5,19041,0,19090,90299,8502,44.045876,-72.710686
221,2011,Vermont,150475,27564.5,17194,0,18937,88836,8679,44.045876,-72.710686
222,2012,Vermont,130412,28146.0,16070,0,18803,84141,8290,44.045876,-72.710686
223,2013,Vermont,137527,28610.75,20794,0,19065,89119,9746,44.045876,-72.710686
224,2014,Vermont,139897,29661.75,20279,0,19004,90377,10848,44.045876,-72.710686
225,2010,Virginia,2483360,423505.75,119506,346161,388307,1535604,385931,37.769337,-78.169968
226,2011,Virginia,2380922,431961.25,116144,288348,376099,1431388,383527,37.769337,-78.169968
227,2012,Virginia,2343908,444527.5,118265,222270,367796,1432460,424050,37.769337,-78.169968
228,2013,Virginia,2414477,451877.5,132138,290508,377066,1512226,435247,37.769337,-78.169968
229,2014,Virginia,2430205,462243.0,150362,278183,382480,1500290,437322,37.769337,-78.169968
230,2010,Washington,2031428,362113.5,115340,94934,308376,1115899,294871,47.400902,-121.490494
231,2011,Washington,2059630,372286.75,114621,56951,319789,1042446,272261,47.400902,-121.490494
232,2012,Washington,2037127,390153.25,112884,42656,315052,1049562,271947,47.400902,-121.490494
233,2013,Washington,2036309,402789.0,119013,74955,316916,1113069,327840,47.400902,-121.490494
234,2014,Washington,2011941,422766.5,121119,76547,314384,1092335,319784,47.400902,-121.490494
235,2010,West Virginia,738821,66961.0,25598,848129,109293,1165405,121780,38.491226,-80.954453
236,2011,West Virginia,726341,70891.25,25409,822645,106587,1138906,124935,38.491226,-80.954453
237,2012,West Virginia,720985,70914.75,24257,756716,105148,1083056,140133,38.491226,-80.954453
238,2013,West Virginia,743612,72762.5,30008,771188,107136,1113141,153875,38.491226,-80.954453
239,2014,West Virginia,752942,74432.75,30091,816460,111559,1163308,161661,38.491226,-80.954453
240,2010,Wisconsin,1791199,253801.0,137892,458442,234583,1361165,376627,44.268543,-89.616508
241,2011,Wisconsin,1778018,263634.75,136188,447370,234103,1359984,399247,44.268543,-89.616508
242,2012,Wisconsin,1721543,273879.75,133110,373281,234814,1283286,410305,44.268543,-89.616508
243,2013,Wisconsin,1813458,281549.25,134199,454554,235851,1418732,453608,44.268543,-89.616508
244,2014,Wisconsin,1868867,293341.25,136809,417096,237116,1437711,477923,44.268543,-89.616508
245,2010,Wyoming,540122,39093.25,3330,484239,58391,805265,154759,42.755966,-107.30249
246,2011,Wyoming,556548,41578.0,3974,467671,59429,797726,161776,42.755966,-107.30249
247,2012,Wyoming,550182,39909.0,4165,490128,57906,821266,158546,42.755966,-107.30249
248,2013,Wyoming,539146,40456.5,4694,520699,58187,839683,155960,42.755966,-107.30249
249,2014,Wyoming,535612,40875.5,4566,489300,58461,803967,141763,42.755966,-107.30249
250,2010,District of Columbia,190529,104044.75,1027,71,40524,58155,33717,38.897438,-77.026817
251,2011,District of Columbia,183806,108029.0,1028,48,39450,55887,33389,38.897438,-77.026817
252,2012,District of Columbia,172963,109760.0,819,77,38415,49025,29389,38.897438,-77.026817
253,2013,District of Columbia,175560,111816.5,855,4,37824,53357,34315,38.897438,-77.026817
254,2014,District of Columbia,178929,116539.25,920,48,38193,55217,35316,38.897438,-77.026817
